Stno,Chip,Database Id,Surname,First name,YB,S,Block,nc,Start,Finish,Time,Classifier,Club no.,Cl.name,City,Nat,Cl. no.,Short,Long,Num1,Num2,Num3,Text1,Text2,Text3,Adr. name,Street,Line2,Zip,City,Phone,Fax,EMail,Id/Club,Rented,Start fee,Paid,Course no.,Course,km,m,Course controls,Pl,Start punch,Finish punch,Control1,Punch1,Control2,Punch2,Control3,Punch3,Control4,Punch4,Control5,Punch5,Control6,Punch6,Control7,Punch7,Control8,Punch8,Control9,Punch9,Control10,Punch10,(may be more) ...,,,,,,,,,,,,,,,,,,,,,,,
,236876,174,Gregurić Miočić,Gordana,,M,,0,47:00,68:02,21:02,0,,,,,15,BEGINNERS,BEGINNERS,,,,,,,,,,,,,,,,0,0,0,16,Beginners,1.4,0,11,1,,68:02,63,05:22,53,05:22,66,07:17,61,08:44,35,09:57,43,12:50,57,14:11,41,15:10,59,16:28,49,18:00,100,20:32,,,,,,,,,,,,,,,,,,,,,,
,1423472,173,Henc,Valentina,,M,,0,41:00,64:11,23:11,0,12,OKM,OK Medjimurje,CRO,15,BEGINNERS,BEGINNERS,,,,,,,,,,,,,,,,0,0,0,16,Beginners,1.4,0,11,2,,64:11,63,04:28,53,04:28,66,05:34,61,06:33,35,12:37,43,15:42,57,16:31,41,17:29,59,18:13,49,21:37,100,22:48,,,,,,,,,,,,,,,,,,,,,,
,552005,42,Vukmanović,Martin,,M,,0,55:00,78:18,23:18,0,1,KAP,OK Kapela,CRO,15,BEGINNERS,BEGINNERS,,,,,,,,,,,,,,,,0,0,0,16,Beginners,1.4,0,11,3,,78:18,63,02:00,53,02:00,66,04:34,61,07:01,35,09:02,43,11:48,57,13:43,41,15:12,59,17:10,49,19:58,100,22:44,,,,,,,,,,,,,,,,,,,,,,
,435413,57,Kaniški,Roko,,M,,0,88:20,115:16,26:56,0,4,Maksimir,OK Maksimir,CRO,15,BEGINNERS,BEGINNERS,,,,,,,,,,,,,,,,0,0,0,16,Beginners,1.4,0,11,4,,115:16,63,01:27,53,01:49,66,05:07,61,08:07,35,11:27,43,15:51,57,17:38,41,19:27,59,21:17,49,24:02,100,26:22,,,,,,,,,,,,,,,,,,,,,,
,1423476,176,Perković,Bartol,,M,,0,59:00,94:25,35:25,0,11,BJE,OK Bjelovar,CRO,15,BEGINNERS,BEGINNERS,,,,,,,,,,,,,,,,0,0,0,16,Beginners,1.4,0,11,5,,94:25,63,03:19,53,03:19,66,07:08,61,09:55,35,13:25,43,18:31,57,21:03,41,23:43,59,25:48,49,30:34,100,34:23,,,,,,,,,,,,,,,,,,,,,,
,446318,80,Miovec,Adam,,M,,0,39:00,,,0,2,OK Jelen,OK Jelen,CRO,15,BEGINNERS,BEGINNERS,,,,,,,,,,,,,,,,0,0,0,16,Beginners,1.4,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,446317,78,Miovec,Vladimir,,M,,0,58:00,,,0,2,OK Jelen,OK Jelen,CRO,15,BEGINNERS,BEGINNERS,,,,,,,,,,,,,,,,0,0,0,16,Beginners,1.4,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,222410,25,Mance,Bruno,,M,,0,49:00,,,0,5,Vihor,OK Vihor,CRO,15,BEGINNERS,BEGINNERS,,,,,,,,,,,,,,,,0,0,0,16,Beginners,1.4,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,236856,175,Miočić,Dario,,M,,0,53:00,787:44,734:44,3,,,,,15,BEGINNERS,BEGINNERS,,,,,,,,,,,,,,,,0,0,0,16,Beginners,1.4,0,11,,,787:44,,,,,,,61,717:57,35,720:33,43,723:28,57,725:12,41,726:21,59,727:37,49,729:31,100,731:18,,,,,,,,,,,,,,,,,,,,,,
,435426,2,Kaniški,Petar,,M,,0,88:20,1555:46,1467:26,3,4,Maksimir,OK Maksimir,CRO,15,BEGINNERS,BEGINNERS,,,,,,,,,,,,,,,,0,0,0,16,Beginners,1.4,0,11,,,1555:46,63,425:55,53,425:55,,,,,,,,,57,751:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
